Brand,Battery_Capacity_kWh,Motor_Power_kW,Weight_kg,Max_Charge_Power_kW,Drag_Coefficient,Price_USD,Range_km,Charge_Time_mins
Volkswagen,109.7,219,2534,100,0.22,55542,577,63
BMW,48.3,297,2089,350,0.26,45797,219,11
Chevrolet,68.2,739,2528,350,0.27,79485,247,17
BMW,79.5,122,2086,50,0.24,52968,340,93
Kia,33.1,647,1870,250,0.29,67838,122,10
Rivian,126.5,494,2705,350,0.22,78774,580,24
Hyundai,122.6,523,2652,350,0.31,70480,471,23
Chevrolet,106.1,464,2573,150,0.28,74632,405,39
Nissan,120.8,262,2745,250,0.34,63725,422,31
Porsche,40.5,396,2111,250,0.23,51261,208,11
Porsche,94.8,100,2173,150,0.26,51224,374,37
Kia,51.9,462,2129,250,0.25,53517,214,12
Tesla,56.7,734,2276,50,0.3,82865,242,67
Volkswagen,97.2,595,2381,150,0.24,75274,443,38
Tesla,45.1,430,2154,250,0.3,58765,205,13
Nissan,124.1,358,2549,100,0.33,60502,557,70
Rivian,55.8,528,2233,250,0.24,59553,306,16
Chevrolet,102.6,683,2577,50,0.3,73585,426,112
Kia,74.8,746,2338,150,0.3,70410,297,31
Kia,127.9,416,2654,150,0.27,73351,574,50
BMW,102.2,282,2462,50,0.35,61176,353,111
Hyundai,122.8,378,2722,350,0.29,59714,402,22
Ford,85.7,708,2602,100,0.29,81902,429,49
Polestar,100.9,459,2643,100,0.32,72489,398,57
Porsche,92.8,226,2338,250,0.33,64307,341,23
Chevrolet,76.6,452,2271,350,0.33,65050,305,12
Audi,107.0,240,2402,350,0.23,57864,512,19
Chevrolet,73.9,150,2117,350,0.23,48066,332,15
Rivian,45.6,262,2172,350,0.24,39623,252,13
Chevrolet,105.8,109,2352,250,0.21,46947,501,26
Volkswagen,64.6,402,2175,350,0.33,67687,274,15
Audi,124.4,713,2893,250,0.29,79340,471,34
Tesla,111.1,633,2819,100,0.23,76777,459,61
Ford,98.3,146,2348,350,0.33,59222,357,20
Mercedes-Benz,33.9,371,1961,350,0.31,46983,133,10
Hyundai,53.9,541,2317,50,0.24,62447,224,56
Mercedes-Benz,119.6,352,2605,250,0.29,61489,422,34
Polestar,51.3,715,2146,50,0.22,73490,277,59
Tesla,40.1,154,1854,100,0.33,42947,185,23
Mercedes-Benz,67.1,628,2204,50,0.29,68062,321,70
Volkswagen,72.4,689,2421,350,0.26,77167,297,15
Volkswagen,104.6,479,2629,50,0.26,69932,455,114
Hyundai,55.3,552,2148,50,0.29,74609,229,63
Audi,47.0,520,2055,100,0.23,52099,186,28
Tesla,58.0,367,1996,350,0.34,58451,280,15
Ford,85.2,207,2271,50,0.32,49001,366,96
Porsche,127.0,647,2828,150,0.22,84347,600,52
Volkswagen,106.9,714,2731,100,0.26,77398,375,59
Nissan,52.9,536,2037,100,0.27,67065,296,31
BMW,86.1,669,2466,50,0.29,81734,248,96
Polestar,51.3,188,1831,150,0.21,48990,305,25
Volkswagen,82.4,553,2425,350,0.22,60806,380,16
Ford,92.1,325,2436,150,0.21,63406,336,37
Chevrolet,81.5,732,2488,350,0.23,76942,313,14
Ford,42.9,314,1937,50,0.3,50170,171,50
Audi,78.5,501,2382,100,0.31,71347,346,52
Mercedes-Benz,116.7,330,2511,350,0.23,65216,510,22
Porsche,119.1,485,2607,250,0.25,75848,508,33
Audi,88.7,466,2290,250,0.3,66178,294,24
Tesla,30.8,246,1882,250,0.33,45717,153,10
Kia,96.9,704,2831,150,0.33,80659,405,39
Tesla,91.1,287,2543,350,0.28,63778,367,14
Audi,43.4,141,1857,350,0.2,47172,238,10
Tesla,115.1,584,2759,100,0.22,85120,487,65
Mercedes-Benz,44.0,616,2111,350,0.23,63229,208,10
Rivian,69.2,630,2429,150,0.29,75324,230,25
Volkswagen,83.2,143,2261,150,0.29,51336,280,33
Nissan,104.1,472,2693,350,0.22,71430,368,23
Polestar,105.5,166,2202,350,0.22,52262,550,19
BMW,107.2,107,2355,150,0.3,49225,361,39
Rivian,64.3,247,1969,150,0.22,49195,300,32
BMW,89.3,166,2302,250,0.32,48683,358,21
Nissan,42.5,698,2194,350,0.26,70776,202,12
Chevrolet,69.8,449,2414,150,0.34,65287,175,29
Polestar,75.2,191,2196,350,0.34,44504,275,12
Nissan,75.9,462,2389,250,0.28,55220,284,18
Chevrolet,51.0,683,2192,350,0.26,74549,220,14
Ford,82.4,386,2252,100,0.27,59672,351,46
Chevrolet,67.3,275,2064,250,0.33,44097,343,21
Volkswagen,97.2,112,2367,50,0.32,48893,400,106
Audi,102.2,656,2609,350,0.22,79394,472,18
Tesla,50.8,117,1893,350,0.33,44749,275,12
Polestar,55.9,346,1964,350,0.25,51645,275,15
Rivian,106.4,191,2493,100,0.28,49116,440,59
Tesla,56.9,452,2046,150,0.26,59583,302,26
Rivian,87.7,278,2471,50,0.26,51891,449,95
Polestar,89.7,490,2362,350,0.33,58166,401,17
Kia,103.8,153,2307,250,0.32,60914,465,27
Kia,77.6,531,2395,50,0.24,68249,330,86
Polestar,89.7,317,2399,100,0.27,55268,304,55
Audi,73.5,260,2267,250,0.35,53787,327,18
BMW,84.2,667,2701,350,0.31,80333,371,19
Porsche,124.4,125,2600,100,0.29,55932,488,72
Nissan,114.5,307,2637,100,0.3,76959,390,63
Chevrolet,99.6,320,2430,50,0.28,47683,440,110
BMW,53.3,115,2056,100,0.35,38633,238,31
Audi,57.2,358,2109,250,0.31,47617,222,16
Nissan,101.6,482,2461,50,0.34,61757,337,112
Volkswagen,117.9,714,3031,50,0.31,81898,361,126
Chevrolet,81.3,249,2334,100,0.26,56567,381,44
Porsche,122.8,746,2818,100,0.27,75631,432,67
Polestar,43.0,677,2094,50,0.33,68598,178,50
Ford,70.8,342,2325,100,0.28,65585,282,42
Audi,86.6,273,2411,150,0.33,51218,306,34
Mercedes-Benz,99.7,542,2706,350,0.33,78072,393,19
Ford,111.8,640,2632,350,0.24,74949,474,20
Audi,111.9,183,2605,250,0.29,55598,430,28
Tesla,107.1,560,2596,50,0.21,81334,563,113
Mercedes-Benz,32.2,310,2069,100,0.2,47384,156,18
Mercedes-Benz,99.4,243,2533,100,0.32,54196,354,53
Rivian,119.4,249,2454,250,0.27,64178,592,30
Nissan,31.8,617,2107,250,0.2,69410,169,10
Volkswagen,42.5,545,1976,50,0.22,53482,182,51
Mercedes-Benz,45.0,401,2257,100,0.27,56177,173,29
Kia,120.8,570,2689,250,0.35,85176,456,27
Rivian,107.6,711,2804,50,0.28,80664,384,114
Volkswagen,50.1,550,2210,350,0.31,66011,216,10
Ford,92.5,609,2583,150,0.27,76270,435,39
Chevrolet,34.1,206,2044,250,0.24,45213,138,10
Chevrolet,46.2,113,2039,150,0.23,40947,204,19
Tesla,114.0,213,2509,250,0.29,73974,502,29
